"id","state","statecode","county","issuance_type","leg_type","leg_subtype","leg_subsubtype","leg_date","citation_form","citation_example","fullfilename"
"91","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2011-2012","HB-946","2012-02-08","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_HB-946/2012-02-08/US-GA-GaBills-cb4f411c-0507-11eb-8e4e-0262fece45de.xml"
"92","GEORGIA","GA","","GABILLS FABA","GEORGIA_BILLS","SESSION-2013-2014","HB-801","2014-01-22","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-801/2014-01-22/US-GA-GaBills-cd66fed0-faba-11ea-ae18-02f43b61c75a.xml"
"93","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SR-888","2004-03-09","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SR-888/2004-03-09/US-GA-GaBills-20632e94-5956-48f0-88ea-2543f56e83d5.xml"
"94","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","SB-501","2004-05-07","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_SB-501/2004-05-07/US-GA-GaBills-257e6e7e-b340-4d2e-9c72-fd2638be19da.xml"
"95","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2013-2014","HB-1154","2014-03-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-1154/2014-03-18/US-GA-GaBills-2fea61e3-b5ea-4821-ad3e-c3e308d02f06.xml"
"96","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2015-2016","HB-927","2016-05-03","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2015-2016_HB-927/2016-05-03/US-GA-GaBills-b976be50-fb78-11ea-97b1-026986fb21f6.xml"
"97","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2007-2008","SB-496","2008-02-20","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2007-2008_SB-496/2008-02-20/US-GA-GaBills-2188c9b4-fba9-11ea-91c6-0612af2c4a7c.xml"
"98","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-686","2003-03-05","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-686/2003-03-05/US-GA-GaBills-be646ba5-7b64-4165-8e58-a3f1f6dc1301.xml"
"99","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2003-2004","HB-686","2003-05-31","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2003-2004_HB-686/2003-05-31/US-GA-GaBills-4656ed0c-37d1-4b25-966d-b7b6a9f1f967.xml"
"100","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2019-2020","HB-532","2019-02-28","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-532/2019-02-28/US-GA-GaBills-d7db6982-fad2-11ea-8add-06550e2e9f68.xml"
"101","GEORGIA","GA","","GABILLS FAAC","GEORGIA_BILLS","SESSION-2013-2014","HB-824","2014-04-15","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2013-2014_HB-824/2014-04-15/US-GA-GaBills-fd141576-faac-11ea-a3c7-02f43b61c75a.xml"
"102","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2009-2010","SB-450","2010-02-18","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2009-2010_SB-450/2010-02-18/US-GA-GaBills-959a8bb4-fb79-11ea-8f2f-028ad73fc84c.xml"
"103","GEORGIA","GA","","GABILLS FBAC","GEORGIA_BILLS","SESSION-2011-2012","SB-431","2012-05-02","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2011-2012_SB-431/2012-05-02/US-GA-GaBills-81ab701c-fbac-11ea-bb35-066380f4e01c.xml"
"104","GEORGIA","GA","","GABILLS","GEORGIA_BILLS","SESSION-2019-2020","HB-781","2020-07-29","","","/home/ekamradt/git/data-innodata/US/US-GA/GEORGIA_BILLS/SESSION-2019-2020_HB-781/2020-07-29/US-GA-GaBills-3706ef06-fae2-11ea-a11f-06550e2e9f68.xml"
